"n","latitude","longitude","target","b0_GCVI","b1_GCVI","b2_GCVI","b3_GCVI","b4_GCVI"
72,-28.25954,-54.03832,"corn",5.026989936828613,1.6828829050064087,4.354048728942871,-1.94986629486084,1.0241936445236206
73,-28.21625,-55.21652,"corn",9.35085678100586,6.369495868682861,10.007818222045898,-2.799987316131592,5.056938171386719
74,-27.89923,-54.50289,"corn",8.223633766174316,6.2218427658081055,7.842318534851074,-1.4743022918701172,4.696304798126221
75,-28.64009,-52.78925,"corn",4.929173946380615,2.122368574142456,3.9867990016937256,-1.7029502391815186,2.625497579574585
76,-29.6447,-50.51796,"corn",-1.088779091835022,-2.53206205368042,-4.4218292236328125,1.02825927734375,-3.1057419776916504
77,-27.76787,-52.49252,"corn",3.5419673919677734,-0.5921924710273743,3.0061614513397217,-2.5942187309265137,-0.6358603835105896
78,-27.80475,-54.76057,"corn",4.561368465423584,3.1987719535827637,3.418572425842285,-0.36778485774993896,2.2370309829711914
79,-27.63043,-54.64707,"corn",5.837381839752197,4.670018672943115,4.998778820037842,-0.929664433002472,4.3985137939453125
80,-29.85181,-52.39412,"corn",1.5519343614578247,1.109144687652588,-1.4741967916488647,0.1272510588169098,2.923525094985962
81,-28.50495,-52.77707,"corn",5.187738418579102,1.5383291244506836,4.288240432739258,-2.939626455307007,2.510164499282837
82,-29.74245,-51.94768,"corn",13.737316131591797,6.565598964691162,17.014371871948242,-6.166316509246826,4.157476425170898
83,-27.63205,-54.66075,"corn",5.1287336349487305,3.433957815170288,4.3003692626953125,-0.7888044118881226,2.5252318382263184
84,-28.05703,-51.83151,"corn",3.691151618957519,-1.0639842748641968,2.3446762561798096,-2.666423797607422,-0.4283289909362793
85,-28.21748,-52.82253,"corn",6.567786693572998,1.4818439483642578,6.684060096740723,-4.171743869781494,2.874047040939331
86,-33.66626,-53.43829,"corn",0.6682537198066711,-1.435635685920715,-2.2753827571868896,1.3845558166503906,-1.710709810256958
87,-28.50792,-52.77504,"corn",4.346134185791016,0.9672353267669678,3.279350519180298,-2.7467944622039795,2.0135955810546875
88,-27.72107,-51.7949,"corn",3.867680788040161,1.4381892681121826,1.7153847217559814,-1.3001750707626345,2.4099583625793457
89,-27.22337,-53.20504,"corn",1.5528862476348877,-0.02352848649024963,-0.8423501253128052,0.28105515241622925,-0.6036823391914368
90,-28.0469,-51.8044,"corn",3.385214567184448,-0.21189884841442108,2.4812169075012207,-1.9860026836395264,0.7475886344909668
91,-28.14555,-52.29783,"corn",4.616562843322754,0.7704891562461853,4.052323341369629,-2.9890620708465576,1.9201128482818604
92,-28.0807,-51.46617,"corn",1.5974513292312622,-1.2216976881027222,-0.22549112141132355,-1.4642090797424316,-1.388672947883606
93,-31.27307,-52.14749,"corn",-2.606200933456421,-2.8326876163482666,-7.053277015686035,2.0814645290374756,-3.225480556488037
94,-27.53487,-53.46204,"corn",7.261119365692139,3.3314595222473145,6.754040718078613,-3.0283122062683105,3.8060762882232666
95,-28.24695,-54.104,"corn",3.8538622856140137,0.411129355430603,3.3018009662628174,-1.4839287996292114,0.8250806927680969
96,-28.53374,-52.84692,"corn",5.6288065910339355,1.4232943058013916,5.1896843910217285,-3.280592679977417,2.6664559841156006
97,-27.67757,-54.75618,"corn",7.803895950317383,5.783092498779297,7.469812870025635,-1.889733076095581,5.124162673950195
98,-28.32241,-51.33973,"corn",3.8540384769439697,-0.4112831652164459,2.8290011882781982,-2.7181100845336914,0.7116879820823669
99,-28.13302,-51.36585,"corn",2.423372268676758,-1.645502686500549,1.0575008392333984,-2.884990692138672,-1.3496198654174805
100,-28.05637,-54.54361,"corn",7.691085815429688,4.866612434387207,7.726855754852295,-2.407301425933838,4.228607177734375
